date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:07:41	47/47	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20May%202013%2014:15:29%20GMT	http://responsiweb.com/robots.txt		(from )
01:07:42	76104/76104	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jul%202014%2016:59:08%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/index.html	(from )
01:07:43	20766/20766	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20May%202014%2020:41:32%20GMT	http://maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/maxcdn.bootstrapcdn.com/font-awesome/4.1.0/css/font-awesome.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:44	106894/106894	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202014%2017:01:00%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/css/bootstrap.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:45	78373/78373	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202014%2017:01:00%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/css/ace-skins.min.css	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/css/ace-skins.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:46	358982/358982	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202014%2017:00:56%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/css/ace.min.css	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/css/ace.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:46	135870/135870	---MCZ	200	added ('OK')	text/css	date:Thu,%2010%20Jul%202014%2017:01:02%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/css/ace-rtl.min.css	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/css/ace-rtl.min.css	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:46	6675/6675	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2008%20Jul%202014%2023:37:44%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/js/ace-extra.min.js	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/js/ace-extra.min.js	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:46	3348/3348	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Jun%202014%2011:24:30%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/avatars/avatar.png	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/avatars/avatar.png	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
01:07:47	3276/3276	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Jun%202014%2011:29:46%20GMT	http://responsiweb.com/themes/preview/ace/1.3.1/assets/avatars/avatar3.png	C:/My%20Web%20Sites/http___responsiweb.com_themes_preview_ace_1.3.1_/responsiweb.com/themes/preview/ace/1.3.1/assets/avatars/avatar3.png	(from http://responsiweb.com/themes/preview/ace/1.3.1/)
